words,label
akbar,0.0
alamen,0.0
tjabara,0.0
sloïm,0.0
enti,0.0
ta3raf,0.0
romdhan,0.0
hhh,0.0
5allina,0.0
louhichi,0.0
yehdiiiiiiiiiiiiiiiiiiiiiiiik,0.0
kol,0.0
3am,0.0
wcha3b,0.0
lghalia,0.0
b5ir,0.0
sr,0.0
arbitre,0.0
yétbadil,0.0
mzéya,0.0
bnn,0.0
annif,0.0
capo,0.0
hadha,0.0
houa,0.0
esshih,0.0
to93dou,0.0
emnaykin,0.0
asfil,0.0
5al9,0.0
bet7in,0.0
emta3kom,0.0
dwala,0.0
loool,0.0
vasy,0.0
jawebhom,0.0
3addi,0.0
lbarnamej,0.0
inchallah,0.0
ya3mel,0.0
haja,0.0
izid,0.0
ikamel,0.0
chi5awi,0.0
waw,0.0
hhhhh,0.0
joiyeuuuux,0.0
anniversaiiiire,0.0
hmdi,0.0
hirbaui,0.0
clubiste,0.0
homme,0.0
propre,0.0
yesstehel,0.0
khir,0.0
boy,0.0
mahlekk,0.0
iwaslek,0.0
wlidek,0.0
labes,0.0
ekid,0.0
klemik,0.0
shih,0.0
tunisie,0.0
avant,0.0
catastrophe,0.0
slouma,0.0
marbou7a,0.0
forza,0.0
t3ich,0.0
kleb,0.0
rous,0.0
mjenin,0.0
omra,0.0
makboula,0.0
nchala,0.0
hahou,0.0
elli,0.0
7abou,0.0
yosloula,0.0
rcd,0.0
ychatitouna,0.0
en,0.0
m3alleem,0.0
defence,0.0
yesir,0.0
te3ib,0.0
7addedi,0.0
3agrbi,0.0
meyjich,0.0
arriere,0.0
droit,0.0
bari,0.0
lem,0.0
rouhek,0.0
dirti,0.0
ar,0.0
yar7mou,0.0
o,0.0
yna3mo,0.0
a3tihom,0.0
ychedo,0.0
7aja,0.0
ykabcho,0.0
fiha,0.0
y5ales,0.0
w7alkom,0.0
lewled,0.0
ye,0.0
m3alem,0.0
m3ak,0.0
lele5er,0.0
patron,0.0
melyarat,0.0
melyart,0.0
erya7i,0.0
3affat,0.0
chniya,0.0
tlamed,0.0
chwaya,0.0
jaimet,0.0
t7in,0.0
tho,0.0
taba3,0.0
siyesi,0.0
berasmi,0.0
mahboula,0.0
barcha,0.0
vipa,0.0
wlawled,0.0
zeda,0.0
kleeemk,0.0
y9ch3er,0.0
lbdaan,0.0
wlh,0.0
a77la,0.0
weld,0.0
7omti,0.0
a7la,0.0
jendouba,0.0
alors,0.0
nmoute,0.0
3lihhh,0.0
be,0.0
saraha,0.0
bravooooooo,0.0
9atel,0.0
rou7,0.0
fin,0.0
trou7,0.0
c,0.0
bien,0.0
enchallah,0.0
pk,0.0
pas,0.0
taw,0.0
youm,0.0
ntab3ek,0.0
dhlamthom,0.0
l9rouda,0.0
mseken,0.0
elrzana,0.0
l39ala,0.0
izi,0.0
mil,0.0
kitheb,0.0
3maltou,0.0
el3ar,0.0
wallah,0.0
tfouuuh,0.0
alikom,0.0
meskina,0.0
jam3iya,0.0
ma,0.0
famech,0.0
5ir,0.0
menek,0.0
kolhom,0.0
ta7ana,0.0
smlouma,0.0
sameh,0.0
wfa,0.0
mousalsel,0.0
3zizty,0.0
3sba,0.0
lirie7i,0.0
ah,0.0
yee,0.0
galbie,0.0
las,0.0
chicas,0.0
del,0.0
cable,0.0
raw3a,0.0
khlaaah,0.0
bessah,0.0
makmltouch,0.0
a7na,0.0
wled,0.0
alech,0.0
mahawech,0.0
hata,0.0
retraite,0.0
ghaadine,0.0
yetselkou,0.0
gibaya,0.0
m3lm,0.0
rak,0.0
syb,0.0
3alina,0.0
men,0.0
leo9et,0.0
leblad,0.0
hadi,0.0
marb7na,0.0
menha,0.0
7atchay,0.0
mala,0.0
manoulla,0.0
pablo,0.0
scobar,0.0
wrabbi,0.0
ydillik,0.0
wiy3awnik,0.0
hhhhhhhhhhhhh,0.0
walh,0.0
m3alm,0.0
3bed,0.0
mnayka,0.0
ya3en,0.0
3oss,0.0
omhem,0.0
l9a7ba,0.0
ti,0.0
ab3them,0.0
ynaikou,0.0
kena3ja,0.0
elibech,0.0
touled,0.0
akid,0.0
m3a,0.0
8,0.0
omg,0.0
j,0.0
adoore,0.0
ta,0.0
merveilleuse,0.0
voix,0.0
khadija,0.0
yezi,0.0
bla,0.0
kedhb,0.0
le,0.0
grand,0.0
my,0.0
birthday,0.0
08,0.0
12,0.0
un,0.0
supporter,0.0
stadiste,0.0
h,0.0
za3ma,0.0
dima,0.0
el3alali,0.0
infrastructure,0.0
parc,0.0
a,0.0
wa9tech,0.0
tabda,0.0
fih,0.0
5edmet,0.0
tasli7,0.0
3adé,0.0
nklachi,0.0
eli,0.0
mayjiche,0.0
3la,0.0
béli,0.0
m6,0.0
m3elim,0.0
mazal,0.0
inhallah,0.0
bi,0.0
tawfik,0.0
5iiiiiiiiiihhhhhh,0.0
mamestek,0.0
8onaytek,0.0
og3id,0.0
n,0.0
8adi,0.0
wa7dak,0.0
felwahra,0.0
yem3alimmmmmmmmmmmmm,0.0
bsaraha,0.0
tbarkala,0.0
3lih,0.0
a3az,0.0
sadi9,0.0
llensan,0.0
arbou7a,0.0
vive,0.0
nchlahe,0.0
bsara7a,0.0
7alou,0.0
mchakel,0.0
ithabit,0.0
ajrik,0.0
we,0.0
chaab,0.0
ija,0.0
privee,0.0
7chti,0.0
bik,0.0
3ana,0.0
5dma,0.0
nhebou,0.0
adlèn,0.0
gedioura,0.0
m3allem,0.0
embratour,0.0
ouuuuuuuh,0.0
med,0.0
lemkacher,0.0
a9wa,0.0
we7ed,0.0
9ouwétna,0.0
bled,0.0
rahi,0.0
beyna,0.0
lkol,0.0
ya3rafha,0.0
aimez,0.0
svp,0.0
enchla,0.0
el5ir,0.0
9odam,0.0
hedi,0.0
zaiem,0.0
tallaa,0.0
fil,0.0
moustawa,0.0
sinon,0.0
team,0.0
dz,0.0
hasilou,0.0
7reb,0.0
cab,0.0
ligue2,0.0
ma3adch,0.0
yet9ab7ou,0.0
assyeidhom,0.0
johnny,0.0
fl,0.0
waaaw,0.0
zaza,0.0
ma3zek,0.0
lotfiiii,0.0
khouya,0.0
bayinnn,0.0
ya9liiiiii,0.0
taamlou,0.0
beuzz,0.0
bch,0.0
yarj3ou,0.0
yetfarjou,0.0
fikom,0.0
tahchelkom,0.0
deja,0.0
3indek,0.0
mabrouke,0.0
bonne,0.0
à,0.0
nivevecer,0.0
pire,0.0
que,0.0
zaba,0.0
el8ali,0.0
btwfi9,0.0
inchalh,0.0
rihi,0.0
lm3alm,0.0
rais,0.0
ama,0.0
emena,0.0
emm,0.0
ma7soub,0.0
tal3a,0.0
achrb7t,0.0
thawra,0.0
naktha,0.0
lokrez,0.0
wemchet,0.0
mahlehom,0.0
walah,0.0
katlouni,0.0
douhek,0.0
machalah,0.0
3lihom,0.0
yar7amha,0.0
yechfik,0.0
wladna,0.0
hawelelah,0.0
yahdiyolek,0.0
lintisar,0.0
hhhhhhhh,0.0
tla3,0.0
l5onnar,0.0
o93od,0.0
falim,0.0
3almouta,0.0
bara,0.0
nikomek,0.0
5alliw,0.0
errajel,0.0
ye5dem,0.0
rou7ou,0.0
wm3ana,0.0
ye5sel,0.0
dnoubou,0.0
behd,0.0
sahbou,0.0
mounefikin,0.0
mahouch,0.0
klemi,0.0
e,0.0
teri5,0.0
howa,0.0
y9oul,0.0
hhhhhh,0.0
bhim,0.0
hhhhhhh,0.0
bahloul,0.0
a3toni,0.0
fb,0.0
moncef,0.0
mahlek,0.0
brasmi,0.0
makech,0.0
3adi,0.0
bravoooooooooo,0.0
slommmaaa,0.0
sa7a,0.0
manel,0.0
cardi,0.0
b,0.0
voibes,0.0
kif,0.0
mat9ol,0.0
lo5ra,0.0
tounés,0.0
meyfer9ouch,0.0
bin,0.0
ezkim,0.0
wlkrim,0.0
wlfehem,0.0
yfhem,0.0
looooool,0.0
étoile,0.0
dawlaaaa,0.0
maryoumma,0.0
zin,0.0
ezin,0.0
hhahha,0.0
ka3ba,0.0
bourjoulia,0.0
chab3a,0.0
dha7k,0.0
ya7mou,0.0
yaj3el,0.0
ma2weh,0.0
ljana,0.0
1000,0.0
nikomok,0.0
wkatar,0.0
koll,0.0
enta,0.0
bkhiir,0.0
tawa,0.0
meksh,0.0
besh,0.0
t9olna,0.0
farkh,0.0
chkoun,0.0
aya,0.0
yizi,0.0
ma7kina,0.0
yarhmoo,0.0
maysawetlek,0.0
ken,0.0
etameee3,0.0
ji3aaan,0.0
happy,0.0
birthdhay,0.0
alah,0.0
yar7mah,0.0
nes,0.0
ma3andhom,0.0
win,0.0
yhorb,0.0
3morhom,0.0
nte7chmou,0.0
3morkom,0.0
wsabir,0.0
ahilha,0.0
lebled,0.0
da5let,0.0
7it,0.0
mel,0.0
la3bed,0.0
hedhom,0.0
clip,0.0
3leh,0.0
tadh7ek,0.0
chadetha,0.0
besif,0.0
wahf,0.0
rite,0.0
mahou,0.0
ifar7ek,0.0
beha,0.0
tekdheb,0.0
wenti,0.0
ta3ref,0.0
el9zdhia,0.0
elfalestinia,0.0
snin,0.0
dayma,0.0
yahfdhek,0.0
oui,0.0
wou,0.0
3amek,0.0
yar7am,0.0
3ami,0.0
source,0.0
sure,0.0
ntijt,0.0
lard,0.0
wjaya,0.0
tt9ohb,0.0
nhar,0.0
nestana,0.0
ijou3,0.0
klana,0.0
brabbi,0.0
9le9touch,0.0
denya,0.0
t7ar9et,0.0
madina,0.0
mounawra,0.0
i7ebou,0.0
jdida,0.0
hethom,0.0
machallah,0.0
cha3b,0.0
ghalia,0.0
haya,0.0
ne7kou,0.0
bel,0.0
3arbi,0.0
nchlh,0.0
laabed,0.0
tefhm,0.0
klemk,0.0
nousslou,0.0
nbadlou,0.0
l3a9lya,0.0
mte3na,0.0
enchalah,0.0
mat5alich,0.0
bina,0.0
hoy,0.0
bayouta,0.0
belle,0.0
choufelna,0.0
7al,0.0
lel,0.0
7ayawan,0.0
jamel,0.0
arfaoui,0.0
othmen,0.0
lc,0.0
cha3éb,0.0
bwdi3,0.0
iljari,0.0
wla,0.0
liwsif,0.0
madam,0.0
libled,0.0
mafihech,0.0
kbir,0.0
moi,0.0
zéda,0.0
mkach5a,0.0
wbech,0.0
nenta5éb,0.0
nikelha,0.0
omha,0.0
mara,0.0
okhra,0.0
8hor,0.0
tawayesta8alk,0.0
il,0.0
efri9i,0.0
yetla3,0.0
chy,0.0
y7achem,0.0
fased,0.0
sa9et,0.0
7ram,0.0
kemt,0.0
insen,0.0
tu,0.0
te,0.0
rajeunie,0.0
de,0.0
jour,0.0
top,0.0
btawfik,0.0
ltunis,0.0
mafamach,0.0
ystahlha,0.0
mnou,0.0
kamel,0.0
hatoula,0.0
gnayt,0.0
ma3allem,0.0
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,0.0
est,0.0
esj,0.0
1,0.0
hhhh,0.0
mallla,0.0
dnadik,0.0
yerhemo,0.0
inti,0.0
akber,0.0
fesed,0.0
hak,0.0
9wi,0.0
7seb,0.0
hay,0.0
zouhour,0.0
yfarej,0.0
aala,0.0
madhloum,0.0
hh,0.0
ma9tla,0.0
5ouya,0.0
ebde3,0.0
mafamech,0.0
menou,0.0
bledna,0.0
ness,0.0
signaler,0.0
mahlekom,0.0
yefadhalkom,0.0
ba3athkom,0.0
inchlh,0.0
marbouha,0.0
latrabho,0.0
ychwi,0.0
kibite,0.0
i3idmouh,0.0
mahla,0.0
klemek,0.0
madame,0.0
netsawar,0.0
9elbouha,0.0
wazn,0.0
rr,0.0
perruque,0.0
plastique,0.0
majewech,0.0
film,0.0
rex,0.0
dharba,0.0
mouj3a,0.0
danadik,0.0
wd,0.0
esserdina,0.0
riahi,0.0
slwma,0.0
jm3ya,0.0
7eja,0.0
lik,0.0
t5aliohech,0.0
ykounou,0.0
rjel,0.0
allahouma,0.0
salli,0.0
wsallm,0.0
syedna,0.0
mohamed,0.0
4,0.0
14,0.0
dad,0.0
walks,0.0
by,0.0
ben,0.0
cheikh,0.0
awled,0.0
thomasturbat,0.0
ezgvshdjid,0.0
3idik,0.0
mobarik,0.0
sam,0.0
ezbaaar,0.0
t3,0.0
zbaaar,0.0
alsalem,0.0
3alaikom,0.0
9weya,0.0
cho,0.0
ta7ki,0.0
usma,0.0
kbira,0.0
3likoum,0.0
3alaa,0.0
addonia,0.0
assaleem,0.0
tunis,0.0
cha3eeb,0.0
mahma,0.0
i9olou,0.0
ennes,0.0
3lik,0.0
mani,0.0
msalém,0.0
7ata,0.0
chay,0.0
maybarer,0.0
9atl,0.0
allahe,0.0
yarhamou,0.0
klem,0.0
ma39oul,0.0
wfi,0.0
blastou,0.0
wes7i7,0.0
7atta,0.0
layla,0.0
3yat,0.0
timchi,0.0
hakeka,0.0
ahessen,0.0
intideb,0.0
tjib,0.0
edaraji,0.0
mla3bi,0.0
ghoul,0.0
ywetik,0.0
chmata,0.0
mfach5ine,0.0
7oto,0.0
aime,0.0
meller,0.0
na3mloul,0.0
cha9a9a,0.0
meskn,0.0
yahdihome,0.0
fitunis,0.0
wacharbouha,0.0
talaa,0.0
yechabah,0.0
lelakher,0.0
ichalah,0.0
llnihaya,0.0
fri9i,0.0
yammi,0.0
joujmage,0.0
molena,0.0
chkone,0.0
yashél,0.0
3al,0.0
mechrgi,0.0
otlbo,0.0
telephon,0.0
sakroulek,0.0
chain,0.0
mteik,0.0
klay,0.0
fbi,0.0
iltaw,0.0
mazilt,0.0
raiiiiiiis,0.0
wildi,0.0
law7,0.0
ywaf9ek,0.0
continuation,0.0
awel,0.0
marra,0.0
narref,0.0
esmou,0.0
dhaherli,0.0
yelzemna,0.0
errjou3,0.0
lchera3,0.0
m3ek,0.0
le9dar,0.0
lezem,0.0
looooooooooooool,0.0
chou,0.0
ya7ki,0.0
3ad,0.0
atawa,0.0
y3ardhoulek,0.0
doura,0.0
kesah,0.0
bro,0.0
heka,0.0
mouch,0.0
vbi7a,0.0
ente,0.0
t3alem,0.0
zid,0.0
et3alem,0.0
sanfour,0.0
musica,0.0
bnina,0.0
le5irrr,0.0
warrina,0.0
kifch,0.0
aabir,0.0
moujrima,0.0
charmouta,0.0
imarat,0.0
jam3ya,0.0
mè,0.0
gadithèch,0.0
t7ib,0.0
tsayir,0.0
dawla,0.0
klach,0.0
meriem,0.0
viva,0.0
amo,0.0
amor,0.0
aslim,0.0
elkaleb,0.0
elka,0.0
5ouh,0.0
nchalh,0.0
saber,0.0
plus,0.0
lesm,0.0
3alesm,0.0
wrabi,0.0
yjib,0.0
l9asem,0.0
njik,0.0
na3emlou,0.0
niheytek,0.0
me,0.0
te3jebch,0.0
ey,0.0
9anet,0.0
leclub,0.0
kifeh,0.0
w3dtna,0.0
biha,0.0
bjah,0.0
chidinna,0.0
jam3ia,0.0
brabi,0.0
n7eb,0.0
neshel,0.0
anis,0.0
mime,0.0
labesseeee,0.0
hhhhhhhhhhhhhhhhhhhhhhhhhh,0.0
eni,0.0
m3akom,0.0
tous,0.0
les,0.0
temps,0.0
ychafiha,0.0
y3afiha,0.0
rab,0.0
karoui,0.0
yosra,0.0
je,0.0
crois,0.0
joyeux,0.0
anniversaire,0.0
nchalah,0.0
yfadhlou,0.0
barka,0.0
taskirek,0.0
letounsia,0.0
tbandir,0.0
lenah9a,0.0
partage,0.0
min3andi,0.0
love,0.0
3oud,0.0
jib,0.0
l5nicher,0.0
pffffffffffffffffffffff,0.0
ra7a,0.0
chance,0.0
mabrouuuk,0.0
jvm,0.0
ahouma,0.0
etta7ana,0.0
mte3,0.0
on,0.0
espere,0.0
khoya,0.0
bakitna,0.0
3lina,0.0
wa3lik,0.0
sloumma,0.0
3a9rab,0.0
martou,0.0
ma3lem,0.0
blasetha,0.0
hathi,0.0
bahya,0.0
chokran,0.0
rye7i,0.0
mabrouuk,0.0
djoo,0.0
incallah,0.0
ynasini,0.0
alexis,0.0
nidhal,0.0
dsl,0.0
sahby,0.0
fibelkom,0.0
illi,0.0
slimkom,0.0
ta7an,0.0
yeser,0.0
sahbi,0.0
ywafkek,0.0
belotf,0.0
frero,0.0
lkolna,0.0
00000000000,0.0
wal,0.0
8alia,0.0
5ayr,0.0
kaffffffff,0.0
fi9,0.0
3asssba,0.0
feka,0.0
chyeb,0.0
garouma,0.0
lol,0.0
aiment,0.0
ça,0.0
etelhe,0.0
siyesa,0.0
wseyeb,0.0
lclub,0.0
gteltna,0.0
bass,0.0
yberkelkom,0.0
tnektou,0.0
bl,0.0
autotune,0.0
yar7mek,0.0
las3ed,0.0
9aleb,0.0
assad,0.0
hade,0.0
litestahel,0.0
etakrim,0.0
b9itou,0.0
tekdhbou,0.0
mr6,0.0
vu,0.0
djazair,0.0
9oub3a,0.0
essbab,0.0
go3r,0.0
ta77an,0.0
wahdek,0.0
maallem,0.0
ech3on,0.0
yetfaraj,0.0
2020,0.0
neni,0.0
marzouki,0.0
dawartaha,0.0
ma3arethe,0.0
sliiiiiiiim,0.0
tfarejt,0.0
anime,0.0
death,0.0
note,0.0
majebech,0.0
jdid,0.0
e5dem,0.0
rou7ek,0.0
rana,0.0
ma3alem,0.0
koul3am,0.0
oint,0.0
rir,0.0
good,0.0
nokta,0.0
blice,0.0
yahki,0.0
elfassed,0.0
mashallah,0.0
vraiment,0.0
jolie,0.0
fekih,0.0
ahlem,0.0
force,0.0
ras,0.0
wja3ni,0.0
ebdeeeee3,0.0
wenchallah,0.0
yzid,0.0
yfara7na,0.0
min,0.0
france,0.0
intaba3,0.0
ma3llem,0.0
jabriya,0.0
7alloulha,0.0
sormha,0.0
wmalla,0.0
sketch,0.0
yfatte9,0.0
lemsata,0.0
plzzzzzzzzzzzzzzzzzzzzzzzz,0.0
in7ibo,0.0
3alamiya,0.0
intiro,0.0
tiran,0.0
hani,0.0
jawali,0.0
20malyoun,0.0
in3awin,0.0
bahem,0.0
rou7i,0.0
mqla,0.0
rik,0.0
berrid,0.0
capitano,0.0
had,0.0
sawet,0.0
lil,0.0
salem,0.0
7assan,0.0
cha7atta,0.0
llasker,0.0
tout,0.0
policiers,0.0
wel,0.0
harass,0.0
nouvelle,0.0
troika,0.0
upl,0.0
tunisia,0.0
holding,0.0
dislikes,0.0
ktar,0.0
mn,0.0
vues,0.0
youyou,0.0
bkh,0.0
kiff,0.0
non,0.0
pense,0.0
3mal,0.0
3ar,0.0
houwa,0.0
nik,0.0
omek,0.0
sidek,0.0
hamdi,0.0
meddeb,0.0
qualité,0.0
toooooppp,0.0
troooo,0.0
wahadek,0.0
nchallh,0.0
beb,0.0
5ater,0.0
sme3et,0.0
iheb,0.0
3ali,0.0
jobou,0.0
3ena,0.0
lazim,0.0
ithakimou,0.0
itrabilsi,0.0
é,0.0
bilgasim,0.0
mahkma,0.0
askaria,0.0
chesmha,0.0
hedhi,0.0
9onbla,0.0
vraimentttttttttttttttttttt,0.0
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0.0
3,0.0
niveau,0.0
nul,0.0
ta3ti,0.0
rayek,0.0
yar7ma,0.0
eisem7a,0.0
wina3ma,0.0
beljanna,0.0
mazyana,0.0
a5sara,0.0
n3n,0.0
bouk,0.0
wa,0.0
icha3b,0.0
dhméntek,0.0
doc,0.0
marzou9i,0.0
widhamén,0.0
taraji,0.0
8niya,0.0
tinbirkem,0.0
da3i,0.0
lilhalwasa,0.0
yehlko,0.0
metkhalf,0.0
presente,0.0
hedhe,0.0
ra2is,0.0
a555555555555,0.0
jared,0.0
yé,0.0
m3allém,0.0
geka,0.0
momthela,0.0
me7lega,0.0
wi,0.0
mazyineha,0.0
mchallah,0.0
a3sba,0.0
nesma3,0.0
nifarej,0.0
wma,0.0
nichba3ech,0.0
m3ahom,0.0
tesnim,0.0
fans,0.0
thebek,0.0
toines,0.0
a3liha,0.0
fisa3,0.0
zahhhhh,0.0
wink,0.0
freret,0.0
nammi,0.0
1920,0.0
jonjon,0.0
wala,0.0
hama,0.0
lhamami,0.0
2,0.0
yanja7,0.0
wa7id,0.0
fikoum,0.0
kelma,0.0
batala,0.0
edhrab,0.0
gabes,0.0
ma7kithech,0.0
elmaryoul,0.0
9adeh,0.0
loun,0.0
me5id,0.0
mine,0.0
yara7mou,0.0
wisaber,0.0
3ayelta,0.0
ech,0.0
jeb,0.0
makka,0.0
elbouhjat,0.0
yahasra,0.0
alachiboub,0.0
èmin,0.0
y,0.0
adore,0.0
cadeau,0.0
berassmi,0.0
miboun,0.0
fama,0.0
moubarer,0.0
jm3ia,0.0
wa7la,0.0
raeiss,0.0
brafoo,0.0
zabouromkom,0.0
ma9bahkom,0.0
bachir,0.0
wil,0.0
islem,0.0
din,0.0
ensen,0.0
fechel,0.0
dislike,0.0
walet,0.0
zabour,0.0
echnouwa,0.0
et7eb,0.0
etwari,0.0
lazem,0.0
yab9a,0.0
battel,0.0
rapp,0.0
cba3eb,0.0
elgalia,0.0
koulhom,0.0
yhfdkom,0.0
antpma,0.0
3titou,0.0
amma,0.0
bassem,0.0
baalouch,0.0
mela,0.0
bandit,0.0
3aleh,0.0
lotfi,0.0
tnejim,0.0
tenbiz,0.0
ye3tik,0.0
douda,0.0
samidoune,0.0
nehebou,0.0
lmawta,0.0
na5cha,0.0
lmi7ane,0.0
hhhhhhhhhhhhhhhhhhhh,0.0
sel3a,0.0
you,0.0
re,0.0
so,0.0
amazing,0.0
mabrouk,0.0
alina,0.0
im3ana,0.0
tits,0.0
antouma,0.0
esbab,0.0
yhlikhom,0.0
mahk,0.0
president,0.0
makg,0.0
ragl,0.0
chawart,0.0
ejbali,0.0
ecrire,0.0
ces,0.0
mots,0.0
salihovic,0.0
nayek,0.0
ban9es,0.0
nabar,0.0
felpage,0.0
7lel,0.0
wlkolna,0.0
liha,0.0
machi2et,0.0
3omra,0.0
ma9boula,0.0
yahami,0.0
tuinse,0.0
scandaleuuuuxxx,0.0
yezzi,0.0
wa9fouuh,0.0
sport,0.0
tounes,0.0
meeerdaaa,0.0
chfama,0.0
la7assa,0.0
keep,0.0
it,0.0
up,0.0
tih,0.0
ma7leh,0.0
mahthoum,0.0
fdhihit,0.0
tounis,0.0
ha,0.0
maryem,0.0
dabegh,0.0
mitnakil,0.0
yekalik,0.0
lina,0.0
imjaninhom,0.0
ahhhhhhhhhhhhhhhhhh,0.0
kelmha,0.0
s7i7,0.0
akraz,0.0
abham,0.0
terikh,0.0
,0.0
swayt,0.0
ithhabi,0.0
ila,0.0
al,0.0
jahim,0.0
aycha,0.0
3tiya,0.0
yourid,0.0
mazoooooooo,0.0
alifri9i,0.0
barra,0.0
k,0.0
people,0.0
must,0.0
wake,0.0
fawzi,0.0
chbih,0.0
seket,0.0
nsitou,0.0
ili,0.0
maakom,0.0
t7iti,0.0
9lili,0.0
lwlid,0.0
lkim,0.0
hka,0.0
brvo,0.0
marbou7,0.0
nesma,0.0
9a7bet,0.0
3ayla,0.0
pffff,0.0
mnajamsh,0.0
yor9od,0.0
a3sab,0.0
wasahla,0.0
sbou3i,0.0
soura,0.0
lotf,0.0
bra,0.0
stalin,0.0
acier,0.0
3yidchi,0.0
bejbouj,0.0
ta7,0.0
lfehri,0.0
gharbia,0.0
dawlaaa,0.0
ne7na,0.0
cha3eb,0.0
lbasit,0.0
8air,0.0
9adrin,0.0
degoulas,0.0
tkallm,0.0
bel3arbi,0.0
kadder,0.0
castro,0.0
mnek,0.0
chtarha,0.0
rachwa,0.0
rajel,0.0
wahbi,0.0
bellahi,0.0
a3tina,0.0
innajim,0.0
tawwa,0.0
chma3neha,0.0
sbay7iya,0.0
7ala,0.0
page,0.0
ouled,0.0
jam3itii,0.0
braaaaa,0.0
vvvvvvv,0.0
ooooooooo,0.0
fibali,0.0
kafon,0.0
alleh,0.0
ri7mo,0.0
ysiber,0.0
famile,0.0
mta3o,0.0
sli,0.0
yousra,0.0
bent,0.0
hydra,0.0
filler,0.0
mask,0.0
etta9o,0.0
ajlé,0.0
benè,0.0
lènè,0.0
jami3an,0.0
sebsi,0.0
abdo,0.0
hatena,0.0
meli,0.0
rjaaht,0.0
hasitek,0.0
maskel,0.0
walit,0.0
25,0.0
akahaw,0.0
kais,0.0
ne3bdouh,0.0
chafto,0.0
hadk,0.0
mol,0.0
vista,0.0
ver,0.0
g3ad,0.0
ykahal,0.0
khit,0.0
ma3andi,0.0
man9oul,0.0
sout,0.0
akhle9,0.0
faitkom,0.0
gitare,0.0
nshalah,0.0
nasm3ou,0.0
des,0.0
recrutements,0.0
behin,0.0
mba3ed,0.0
3achra,0.0
hazitou,0.0
boutoula,0.0
belghoura,0.0
music,0.0
mnawerna,0.0
ekhiiiiiiiiiiiiiiiiiiiiih,0.0
zanatir,0.0
sliim,0.0
am,0.0
wnti,0.0
bkhir,0.0
bose,0.0
hloaaaaaaaaaaaa,0.0
montage,0.0
raw33333a,0.0
oilah,0.0
nistana,0.0
t9i9a,0.0
draj,0.0
3malt,0.0
chariket,0.0
termtek,0.0
nshallah,0.0
alf,0.0
bonjour,0.0
yézi,0.0
kazouni,0.0
gbal,0.0
mayfout,0.0
lfout,0.0
merci,0.0
mercie,0.0
haw,0.0
