sentence,label
b1 diiiiiiiiiiiit,1
alah inawer el 7a9,1
bassem hamraoui official bi hugues,1
rabi yzidik min 5irou zaza w bariklik fi heka 3azeb,1
c a hobbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbi,1
bravooooo bravooooo bravooooo kathroulna ml ghnyet l7lwa w l5dema lhylaa,1
chokran ya si moncef bravo,1
chou mazbrou hhh,1
ya rabi ya 3ali tenja7 el3amalya enchallah,1
ce n est pas grave tounis bkheir,1
ouiii 3andoo haaa9,1
3ala9al 3andkom ma t7oto fil jalsa il3ama,1
bravo yalzem dima harbb motoisla conter el faaasaaaddddd,1
el9ada a leleh wa7dou,1
wallah jebtha m li5er ye w5ay,1
wooow ma7leeeekom best couple,1
allah yarhamo oi yinamo,1
kol 3am winty b khir m slim,1
ili y7b choufli 7al ya3mel j aime,1
ma3lm amn ana asmi majd n7bk barha ibro,1
allah yrhomhom,1
allah yrahmo nchalah,1
wahret rayess enchallah,1
rabi m3ak w nchaleh tetkchaf enahtha 3la h9i9etha,1
bjr si slim brabbi dhawedi,1
hhhhhhhh blidàà,1
chawala hada shbi,1
hedha raeesse el henna,1
lefri9i 9éssét rjél,1
slim avait raison,1
bravo ya m3alem nchala rabi m3ak w m3a jam3ya ca,1
3idek mabrouk wesnin deyma,1
a7la bachbouvh,1
big boss t notre président slim riahi,1
amine ya rabbi,1
eyy chabeb,1
kol 3am w ontom bi5ayr,1
mabrooook alf mabrooook li tounisna,1
inti sidhom wili ando rih dari achra,1
vive ca la soussa la trachi la welou,1
yasser enchallah betawfi9,1
el hmdl ki wala l tounis ra2d w dawr ijabi,1
allah yarhem waldik zayed sid erjel,1
nchallah labes si jamel,1
gg 5edma zaboura barcha,1
mala enti,1
goood job,1
je m engage avec cpr,1
ekhdem w rabi m3ak ma yhemekch fehom el mortaz9a,1
slim irya7i inchlh,1
bonne annee 2016,1
mahlehaaa 3saaal,1
tu es adorable love you,1
hhhhhhhhhhhhhhhhh walah wliid haaaa,1
rabi maana,1
hhhhh mala jam3iya 3ana 3alamiya,1
zakaria ben salem nrabi yechfik inchallah,1
tayer 3la ro7ek sa7bi 8nayetek maf3olha a9wa mel chi5a,1
bravo klay bbj m3alem,1
ya 8adra,1
woooow raw3a bravo,1
lzmou fil club,1
haloumaaa top ya mama,1
allah yhfad lik had achab machaa allah,1
enchallah dima far7anin,1
c a koul 3m weta hbibi,1
cest bien dit slim,1
too oo op,1
m3alem slouma,1
ostoura ya m3allem,1
machallah rabi yot3em kol mhroum,1
rabi yahfdo w beriklik fin metinsech jamiya amena fi rakbtik,1
patron nchala zina,1
bech ykathrou les vu,1
enchalla rabi m3ana wiba3ed 3lina wlad la7ram,1
m3ak rabbi hé m3ellem,1
enti m3alem m agir moujamla,1
phone addict,1
cherni allaho a3lam,1
ca tabka a7hsan jam3ya lazem ensal7hou gbal derbi,1
beravo me3alem,1
ma3ak y a islim,1
mazelna marina chai,1
felicitation dr marzouki vraiment chuis fier,1
hamdoulleh 3la slemtek,1
bou zinnek,1
twa bal3o w nesma3 fiha 10 fois,1
ca dawletna,1
chkran saydi rais slim iryhi 3la hda rad,1
wch jab ljab zinnn hda l hdak,1
7aja kes7a allez y boomayé,1
3liiina s 3liiiikom sniiin deyme,1
allahi yarhmo,1
rabi yfadhalkom nchalah,1
bonne anf,1
rabi ychfha,1
dima ma3lem ya si slim,1
hhhhh ma7lekom ki thezou fit7in loooool,1
nessma3ha lagnaha hadhi 3ini tadma3 vive ca,1
allah yarhmou w ya3mou fena wa9t dfina samhouni,1
bravooo franchement top,1
3ejbetni barcha,1
a7la slim 3la a9wa ite7ed,1
rabi m3ak m slim w nchallah tenje77 ca m3ak,1
bch tgabll walle mtlab w arj3 b3d 10jours,1
machaw l i tabar9a tanakat ta7ar9at malla kawarat hhhhzantour,1
kol 3am winte bi5ir,1
allahi yarhmou wi naaamou,1
lfri9i daola,1
layoti9o oita9ahome 2ahade,1
wahra enti enchallah tkoun presedent,1
rabi techfih,1
malem w rabi ifadlek,1
mabrouk patron 1 er titre clubiste,1
chadou fik ejam3eye,1
kol sana wantom wa ca bi 1000 khiiiiiiir,1
bravo slim riya7i mo7eb taraji ama kolna tounes,1
cha3b el8alia elkol yetmanelek echifé2 w sa7a edeima,1
rabi meaa tounes,1
cha3b l efri9i,1
vive wlad ca,1
mahalek ya sloma,1
bravo slim bon courage,1
lkbir kbir,1
ajmil jam3iya wa rayss,1
alina w alik jaded ltijani,1
we chfiha leklma,1
chouf 7keya jdida 3ami,1
dima letwal dawla 3ala nes kol,1
bah oui,1
inchallah hmd alaa slemtik et bon retour,1
ya samir ya5i win t3ich essayed klemo elkol shih,1
god help,1
beki enty fi kol 7aletik thabel mais je préfère 1,1
so cute mashaaallah,1
klo chababa m3a slime ile ry7i,1
on veut mancini,1
wwaaaw saha lik,1
raby yarhmou,1
bonne anivarsaire slim,1
rabi yefarej 3lih,1
bravo klmou s7i7,1
rabi ya5alik lina slim l5ali,1
trop zoli,1
b3id echar 3la tounen el ghalia allah leywarrina wejh moniker,1
mabrouk 3llena enchallah fi erreassia,1
il est toooop,1
awil 7aja na7i lfsad lbe9i yji,1
rak m3allem ya si slim,1
kol 3am winti bi 1000 5irrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,1
allah yar7mo ina lil lah wa inna ilaihin raji3oun,1
très fort,1
wllh bravo 3ll5er zedt da5ltna fi 7it ch3b lkol,1
catv ou parc mazel te3ba omoro,1
a7la 7kouma,1
enchallah mabrouk a3lina,1
omra makboula inchallah,1
sa7a y bro y a7wel,1
ahla sketch fi 7ayati,1
si slim warrina el salé lmarra ejjaya bnin,1
waww 3ajbatni bzaff d3ouli yarzqni rabi b insan linbghi 3ajilan,1
allah yahfhalek,1
chay3mél borhén bsaiyés fi ca a3tina rep claire stp,1
inchallah tenjah llmoubadra fi akrab wakt,1
amen ya rabe 3alamen,1
slim 5iarouna al2w7ad,1
tous pour docteur marzouki,1
ybanou ynaf9ou fi b3adhhom,1
rahmete allah alleihi w welideya w jemii el moslimine,1
wlayed rabi ywasslek b sellem w rabi yehmik,1
m3aleem d,1
kol 3am wjomhour ca b1000 b5ir,1
rabi ynek si slim,1
inchalah raby meak,1
e5dem 3la rou7ek wna7na m3ak ya slouma,1
echnou ma5arbchek had 9olt 5an5arbech rouhi,1
top vidéos,1
hekeya enhebouk dima 3ayech em3ana 3alakaterha sekna fina,1
rabi isouuuun,1
ani asa7 mosaique wela el president ya amor,1
brabbi tbanneni ena mouch khirlik,1
cool 3am wenti 7aya 1000 5ir,1
allah yarhmou w tahia ejamaiaa,1
allah i9adir il 5iiir,1
hout alikom w rodou belkom ala heka lemridh vipa d,1
very cute,1
enchaallah marbouha wrabi m3ak,1
3alina w 3alik romdhanekk mabroukkk,1
ahlem ma7lek ma7leeek twa7shtek,1
bravo wallah,1
tunisie f 20 personnes ndalo nchofohom f les chaînes tahkoum,1
inch allh 3idek mabrouuukkk habibtiii,1
edabbeeeeeeeegh el mezyennnnnnn,1
walah rajil ou sid erjél,1
manal je teme,1
rabbi yahdik,1
siii slim ethawedi ya siiii slim weld ejam3iyaa rahouuu,1
bedmou3 mela mandher hasilou wmazel maded wejhou,1
dayem rabbi,1
hhhh dima présente f replay fooooort wajihaa,1
bettawfi9 encha allah,1
wiiiiw from america,1
lik wahra ya si lmarzou9i mouch 3adiya hhhhhhhhhhhhh,1
chkoun lcorpse lba7dhek men ghadi hhhh,1
bravo sadiki tu as tout dit,1
bravo rabi maak,1
to9tol to9tl to9tol,1
wawwwww twa7achnek wlhhhh,1
a7la wiled 3ami,1
idek mabrouk si slim,1
ohhh ye ye,1
bjeh rabbi inta5bouni,1
wahra berjoulia chapouuuuuuuuuuuuuuuuu,1
ahhhhhh ya ma3lammmmmmmmmmmm ya sai salimmmmmmmm,1
rabi yarahmou wi na3mou,1
bravo si slim koulna m3ak,1
tbarkalah 3lik dima mnawarna,1
a7laa kafon,1
raby farej 3lik,1
yesser tdha7ak,1
beeeeeeeeeeeeeeeest soooooooooooooooooong ma,1
enta ya slim fi elmouwasafet elmatlouba bech touhkem libled,1
rabie ewaf9k,1
mchall9a w gdiiiiima hal faza wallét jibou jjdid,1
rabyy ykhalihlk,1
karti na9sou kenoun bkhour 3aj3aji,1
beenaa ala beena bravo bravoo shay ekheer,1
allah ydawem 3echretna w nchalla dima b5ir tunis dzayer,1
m3alem president,1
3idak mobrouk,1
rabbi ifadhalhelik beyouta,1
goule mabrouk l ess ya si slim,1
mbrokk 3likk la39obaa l surprise jdida nchlh,1
hahaha hay zahrouni hahaha,1
rabi maak fi kol mekene fi tounes,1
mabrouk inchallah rabi m3ak,1
big boss mallem,1
khedma mezyena ama 9sir chwaya el film,1
rabi yawnk,1
in7bek brchaaa,1
idak mabrouk,1
malla afar,1
macha allah wa inchallah rabi ichafi kul moumen ya rab,1
rabi yonssrek alihom hal ezzlem,1
aid mabrouk king,1
bravo hetha message lekoll tounsi y7eb bledo,1
inta m3alem hhhhh chmeta fe danadik,1
maschallah mahleh lama,1
slim ya m3alem walah m3alem,1
bon retour hamdeleh aliik,1
i3aychek slema ama wi,1
ench men 7asan ila a7san,1
franch chapeau,1
wahdek ya king,1
legrinta louled inchallah marbou7a,1
ehna m3ak dhed lmouamra hadhi inta andhef minhem,1
allah yer7mo w yna3mo,1
enchalah fi soussa,1
rabbi yarhamou,1
allh yerhamha,1
rabi ybareklek w yfathekek mimtek kif tfare7ha,1
menhom enti,1
t7eb compte fb ta3melou securite,1
el hmdl ki habetha hh,1
very funny,1
vraiment yeser nabara nesse kol tbedlet ken nehanna,1
shid tsanet w sali 3ala naby,1
oou raja3houm yekhedmou,1
m3alem raka slim wdhi9etna fik kbira,1
ca kbira wlh maymesou cha3ra menha,1
allah yeramou,1
mabrouk ljoumhour ca,1
wait and see,1
ya3tik sa77a 3malt li lazmou yet3mal,1
un fils formidable que dieu te garde ta maman,1
9alou ra2is dawla,1
bien bien mabrouk,1
yassss girl,1
kil 3ada klay bbj toooop bravooooooo,1
5alik sportif,1
inchallah marbouha c a,1
tjr chaba maryouma,1
a7na m3ak ya khouya slim rabbi ifadhlik,1
bn anniversaire mr slim riahiiii,1
bravooooooooooo me3elem,1
ben arous 9adeh el numero,1
w a7na m3akk si slimm,1
tenez bon,1
bravo ye m3allam,1
alla yarhamha,1
bou zink m7laek rabi esounik,1
7 10 w il ba9i lih 7dith,1
challah kabes,1
fammech sa7a chribetkom,1
rabi m3ak frer,1
nhabha yaser amani,1
slim riahi notre fierté dandouki osbor chweya ech mezelo retour,1
bravo si slim rabbi wfafkak rana bkolna maak,1
ntcharef byhom,1
si slim ya m3lem ch3b le club dima m3ak,1
men awel punchline 3rafto titre zabour,1
rawed rhoumz slouma lim3alim,1
kolna m3a slim riehi,1
allh yarhmo,1
rabbi younser ca we rjelha forza ca,1
3al a9al flos el cha3eb tarj3lo,1
3idk mabrouk wsnin dayma wnchala ca min 7asan la7san,1
bonne chance slim orabi im3akama rabi raho younser ilmadlom,1
ena rani mkachakh ama rani n7ebek w rabi m3ak,1
sinceres condoléances allah yerhamu,1
patron zeyed,1
dazithoulou hhhhhhh andek moda tfarkess chkoun iched blastik,1
une des meilleures chansons,1
tsunade sama help us blz,1
rabi yetaawal f 3markom ya rabi,1
vive cacfus,1
official w chbiha l avocate win yji ti7 3la rasha,1
vive la libertee,1
nhebo nafrho bik afrhena bel galia,1
allah irahmo,1
7okouma tgoul 3liha agence de voyage looool,1
allah yar7mek ya zgaw walah 9loubna 3lik dam,1
sans commentaire berrassmi waaw le7keya ne9sa chwayaa amaaaa bravoooo,1
blanchiment d argent,1
president 2019,1
gati mazalo triq twila bh ywali kif sanfara lem3alem,1
allah yahmih,1
kol 3am w l oma el eslamiya b 5ir,1
i love you baby,1
aya cha3b el wiowwwww nikou jaime,1
ala ho msali 3ala nbi ala slum irya7i 7000 mlyar,1
j adore meriem,1
ilkbir kbir,1
ensemble avec slim riahi,1
en t aime beya,1
vous etes un grand ya slim wallah ya3tik saha,1
m6 si slim raja3telna elfar7a,1
allah yar7amha 0adech konet n7ebha,1
thala lkol maaca wslim eriehi rabi maena,1
so beautiful ilove you,1
slouma rabi m3ak w nchla dima mzahina,1
whhhoo so beautiful,1
elly ya3mel abonnè lel chaine mta3y tarja3lou et merci 3,1
m6 slouma vive ca,1
ana awel wa7ed béch nenta5eb watani 7or inchallah,1
m3allam slim riahi ca,1
je dis toujours bravo rabbi m3ak,1
rabi yahfdek mon frère,1
bravo ya kaherhom,1
bien dit monsieur bravo,1
ta3ali l2albi ana a5oki,1
djabou winou,1
it s a boy lah ikhlih lik yarab,1
good job skan,1
hahahahaha bassem aalamyy oualaaah big up,1
eji 3awnyna ok,1
el glace wel birra,1
rabbi m3ahom,1
big up boss,1
alah yarham chouhadena albrar ou yonsser algalya tounesna,1
rabi m3ake yam3alam,1
ciao marzouki,1
sbe7 el fol ya patron,1
bravo slim hay erjel ach ta3mel,1
maaalllem president,1
bravo nawoufel de invité alaa chebbi merci,1
nchallah mabrouk 3lina w 3lik,1
bravooooooooo slouma,1
khabini ya dabegha khabini rani bach nmout,1
alex ya slouma ya m3allem,1
slim ya mhabelhoum bravo,1
nchlh elli iji ba3dek yenja7,1
toujours en force frero tahia men casablanca,1
enchallah 5alleweh ye5dem,1
ma3lem jenjoon,1
slim brabi jaded lel 9orbi,1
rabi m3aak ou hasbiya allah 3ala thalem,1
kol3amwanta b1000 5ir 5oya,1
rabi ya3tik matetmana,1
bellehi chenhi,1
ijibou jounta,1
bravo slouma ye m3alem,1
wahdik ya slouma,1
3am mabrouk,1
ta7ya tounes winou lpetrol,1
rabi im3ak mon président,1
bsaraha netmanna el jayza a mr marzougui,1
nchlh marbou7a forza ca,1
wow waaaaaaaaw big fan from syria,1
aya hamdoulah alikom,1
bravoooo hadheka ech yestehlou,1
bravo slouma el ghali,1
chnia hal moochiikla,1
naaaan bouu eli yekrheeek ya sam soum hhhh,1
klay wallah lak 3adi,1
rabi meak,1
vous etes vraiment un clubiste bravooooooooooo presedent,1
rabi y a zeyde wa yabrke y a m3lm,1
vive l algerie wrabbi ychfih,1
yatik saha frere,1
win tra fih el mouyou3a sketch idha7ek 3adiiiiiiiiiii,1
taw ya5rawlek fih fi sloum siiiiiiiiiir wrjel jam3iya wrak,1
alalh yarhmou,1
m3alem ya slouma d keep the good job man,1
rabi i5alas wahlek samsoum,1
bravo bien dit king,1
mahlek ya maallem,1
rabi y5ls w7lk,1
cha3eb c a lkolou m3ak ya slouma l4ali,1
nehebou el caf w championnat el 3am jay nchallah,1
enchala rabi m3ak ya slouma,1
rabi ihani said bi saida,1
ya raby 3al moutoudh3a ya ryt ness koul kyfk,1
yakhi akher 7al9a,1
mariem jabetha bthabet,1
ma7leeeh il kalb ama enty mélla mnayyek d,1
mala zbr,1
bravo y a khoya ishllah tarbah,1
najmou nkounou s7ab,1
bravo tada5ol jari2,1
bn chance dr marzou9i,1
gati aime ça hhh,1
ma3aad fahmiin chay barabi fasrounna fi club walla fi lesperance,1
biatawfi9 incha allah,1
nharak mabrouk ya habib elmalayine,1
n7ibek ya célaba,1
ya rabbi 9addeech nhibha hil mraa 33,1
inhibouk rayes dawla ya im3alim,1
ma3a slim,1
rabi m3ana lkoooool,1
wajdi mechergui nafti out ma3ndhomech blassa fel caa,1
rabi em3ak 3la a9al enta wa7ed chab3an eflous,1
hhh ena sada9tek chouf jme3a,1
mon numéro 00213776306726 viber,1
cha3eb il8aliya mayoskotch 3al tholem,1
rabbi ém3ak si slim,1
bravo slim et bonne chance,1
tous avec slim,1
vive ca slouma,1
allah yasotorna mel 3in w rabi yberek fik ya slouma,1
allah we ahad a3la awled lebled,1
hamdoulilléh winchallah dima far7anin,1
ikemel alik,1
wlh klemek shiihh ya lotfi,1
rabbi younsserou,1
mabrouk manzedlik,1
chaibi tarek sidna rabbi wahna 3bédo,1
5idma tayara bravoo,1
bravo hedhi lefri9i,1
el chi3ar ne changera jamais,1
ca y a 3inaya kahawa hhhh,1
hhhhhh sada9ni 9taltni bitho7ek,1
kol 3am w enti hay b alf khir,1
bravo khedma mezyena barcha,1
brabi s7i7 leklem eli fe programme eli jabouh fi nesma,1
machala 3likom walah lik wa77777cha,1
allah yar7me,1
hamd ala slemtik rabbi yikhalik li bnetik,1
bien dit slouma,1
rabi ysounou,1
omg toooop,1
7nina wsensible,1
7lwa am kel machya still virage,1
rabi yechfik wi afik aloulou w yechfi ommet mouhamed,1
rabi m3ake ya m3alem,1
m3alem w bech ya5ralkoum fi kifkoum,1
ana tounsi w almou7ami tounsi w alfahem yafhem,1
welcome sami,1
so hundsom,1
allah warham waldik,1
oé wlh bil7à9 d,1
rabi m3ak wyonsrek a3lehom,1
alla yar7amhem,1
rabi m3ak ya marzouki,1
maydoym hal efarajha eli maynem alil,1
berjouliya 3ejbetni mennk,1
hamdoullah alik rabi yahmik inchallah,1
jdr hh,1
rajel wallahi bravo mehdi,1
raw3aaaa chapeau bas,1
Bellehi kifech ennajem ncontacti el coordinateur mtaa beja,1
mouch kolna bodria got the sauceeeeeee,1
chers adhérents chers amis,1
as2alou allah al3adhim rabbou el 3arch el 3adhim 2n yachfih,1
shma3neha tastour,1
aïd moubarak inchallah,1
bravo syrine et merci mr slim,1
5amsa we5mis aiik ya patron,1
enjoy pipipipipiwwwwww,1
kol 3am wenty hay b 5ir,1
il m3alim m3alim chmata fi la3da,1
first comment,1
berjouliya groupe ytir tiran wo lmozika akther wakther bssaraha bravo,1
bonjour frere,1
rabi maakom w ahné aussi,1
i like the beat,1
viva samara,1
5edma tayra,1
très talentieux mortadha nawwartna 9oddem el touristes 3,1
koll 3am wenty b5eer,1
a7la klay fei tounes,1
nchlh hanouna,1
braaavo sami lfehrii,1
rabi m3ak ya slouma ya m3adabhom,1
7arbaoui ya president b rass la7nina,1
rabi ye7mihom,1
slouma ya king,1
rabi maware elle 7a9e,1
mabrok ljem3iya,1
rabi maak marbouha ama inhadha rahi maak,1
b1 diit,1
au top mimi,1
9wiya yesser,1
amr adel listen to mortadha ftiti,1
allah yarhmou w yeghferlou dhounoubou amine,1
bravo bon titer allez bommay,1
rahou my7ebkchi fi9i,1
sahha si slim sahha sahha,1
a7sin 7al,1
1 vu l a,1
yassin ben gamra houwa el paparazzi,1
thanks m slim,1
chbih yethaz wyet7at akeka 5o zina esghir hhhhhhh mas5fo,1
mgarib3aa ama ma7lak,1
bravooooo ca slouma,1
rabi yihdik éma likléb kima isibsi rahom maynf3oukich,1
bravo ousteth hssan,1
forsa riahi,1
wahra sa7bi,1
bravo saber bravo président,1
ejam3iya 7keya kbira kol 3am wil club b5irr wforza ca,1
tounes bech ta5la,1
bn chance malgré eli ana cabiste,1
ach famma,1
a7la ra2is yinta5bouh echa3b allah yonsrek 3lihom slim,1
aya mabrouka alina koul etwanssa,1
rabi ya3tik 3la 9ad 9albk ou rabi yahfthek,1
mele5er biryé7i wela bijouweret dim ca faw9a ajami3,1
rabi ykawike 3lihom,1
l 8anwchyy yflilhm f gmal,1
sbe7 enour ye patron,1
machallah slouma,1
lee ena 3ajbtni sadi9teek,1
aidek mabrouk w rabi yefadhlek lil elghalya ca,1
done y ena w3ayelti lkol enta5abna slouma,1
ben ali wa7dou w ya7ya ben ali,1
bvo salouma,1
rabbek high level en boucle,1
slouma ya m3athabhom ya 9aherhom,1
rabi m3a ca,1
rachih rouk liriassa telga minna idam biidni illah,1
rabbi yarhemha,1
en finnnnnnn,1
love it nidhal saadi officiel enjoy,1
ma7lk tbrkalllh,1
abri de voiture,1
bonne affaire,1
ma7lek rak 3sal w 9adech 9adit ton rôle bravo,1
rabi m3ek y a slouma,1
mabrouki yal marzouki,1
3ich hyetek enti mra,1
bravo raies à ma hawel raja3 montassar,1
hhhhh bravo slouma walla bravo si slim,1
m3ana rabbi,1
ina lilah w ina ilaihi raji3oun,1
bravo slouma 7atta a7na echebeb maynejem i7ellina mechekelna ken enta,1
bravo 7aja mzyena berasmi,1
rebbi m3ak o rabi iraj3ek l3ayeltek,1
ichrihelna ya m3allem hhhhhh,1
allah yarhmou wi na3mou wi saber 3ayeltou,1
bravo mehdi ta raison,1
j adore nidhal,1
rabi m3ak patrent,1
merci beaucoup slim,1
chinhi él jaaw yé ma3dnous kkkkkk,1
said taraji,1
nmut fik,1
rabbi yfathelkom,1
raw3a ena we twensa fi allemagne m3ak,1
ca tv m taghlech 3le cha3b elghalia y si slim,1
ana oussi hebha men alger khoti,1
in tasour allah yansourkom,1
ràbi yàr7amhom,1
happy birthday sweety,1
rabbi yosterna fi deniya welakhra,1
rajel 5ouya walah rajel,1
lotfi rajel i love you,1
bravo slouma w rabi m3ek,1
bravooooo marzouki,1
hhhhhhhh bild,1
mabrouk 3lina w nchallah chpmpionnat w coupe,1
rabi ychfili omi inchalh,1
bjr yà m3àthébhom,1
ili 3amlou dislike ma3andhomech kaleb,1
chouka fel7al9 hhhhhhh msaken hhhh viv marzougi,1
sexe bébé,1
m3aaaaaalim slouma viva ca,1
iahoukouma sayab rajil rahou cha3b lgalia bda ikarriz,1
rabi me3ak oi rabi ye7mik,1
bravo capitaine,1
3andi mana7ki svp c trè important,1
bomay toooop,1
chkoun yheb klay ynik jaime,1
chez eux loooooooooooooooooooool,1
patron ya slouma,1
lifriki dima labes,1
patron lekbir kbir rabi inawrak,1
forza c a,1
allaho akbar allah yar7mou inna lilleh wa inna ilayhi raji3oun,1
betawfik fehri1,1
ne9esna ken pivo axial kima alexiss,1
3ando rjel,1
klem logic barcha malgre ene min moayedi el7kouma,1
inchallah wa9tech votre visite llkef,1
ou nchalah romdanek mabrouk,1
3alamia akwa wa7da fi ghneyetik bonne continuation y,1
bravo mr slim olfa riahi,1
allah yechfih hata baba merid si slim,1
bjr dr chid shih ma yabka filwed ken hajrou,1
ja3four nchallah rabi ybereklek,1
machalla a3lik o5ti najla wlh,1
mabrouk wahna m3ak,1
rabi y7mih w y5alihoulk,1
objectif rouba3iya quadruplé,1
sba7 idigla,1
maellem kif kol lihom el beji fi awjeh el ataaaaaaaaa,1
i love uu,1
ena n7eb karim w ha4eka 3lech n7esou afthel we7ed fehom,1
ta7ya lik men 9albi,1
sbè7 énour ya m3alim,1
nawart samsoum,1
allah yerhema,1
ahi il fazzè3a,1
bsara7a 9wia yasser el pub,1
bravo si slim ama ma yestehlouch ta7ana,1
rabbi yefadhlou we tefra7 bih inchallah,1
la il est 10h en tunisie aussi,1
ena lelahi w ena ilayhi raji3oun,1
rabi yehdik ya sa7bi,1
3id mobarek 3la omet mohamed elkol,1
rabi3 ynik el kol 3,1
accent dziri mchala9,1
ena m3ak slm,1
bravo slim riahi bravoo,1
so beautifull,1
rabi maak wa7na maak,1
acha lifriki,1
cvn wild 3ammi,1
nchallah bilhne,1
alah yarhmek ya ma3lem ya kapo,1
rabi ychafiha w howa ykatar man mtalo ya rabi,1
bledi nefta bled el khir,1
samara vive lafamii,1
hhhhhhh kolék ané9a d,1
nhib nou9olek si slim haja,1
bravo jen,1
mabrouuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuk ya maaalllem,1
capo wlh capo ya slouma,1
rabi y3ayechhoulel nchallah,1
vote slim riahi,1
amal kharrat i agree with you,1
mabrouk allah yehefdou,1
ey shih,1
bidon ta3li9,1
rabi ikoun fi 3ounek,1
slim big boss de toute la tunisie,1
kol 3am wenti bkir,1
nmout 3alik,1
rabiii iwaselm bsalem w ya3tik ala 9ad 9albek,1
jadooooooooooooooore nidhal m7lak,1
mabrouk 3likom écho mp ion lig,1
mebroukk tounes amena fi kroumétkoum ya dr,1
chiboub ya m3allim,1
chokran a5i lm8ribi,1
rabi y5alihoulek,1
rabi m3ak contre hal w7och,1
rabi ikalik lil ifrikii,1
hehdi el hiba walla lawa7 avec respect,1
inchala rabi yechfih,1
machallah rabi yehmiiih,1
hatem touati ma 5thiiitch lmabrouk ranii,1
ena mkache5 ama met3atif m3ak rabi iwafkik,1
kol 3am wentouma eb khir,1
aaaaaamine ya rabb,1
iddin hamih allah w nasirahou allah,1
rabu yarhamhom,1
kol 3m ta bekhair,1
m3aaalllemm rabi yahfdhec,1
ma7la zinek,1
3la baraket elleh wallaho elmoffe9,1
vive notre cher ca,1
ahahahah maslaheet l cluuub o normal yekhy hetha,1
nchallah rabi yiktiblik iriassa et nitsawrek tingah,1
chakar rouhou,1
kolna m3akom kolna tounes,1
weld 7oumti zzh5 ma7la 8nec,1
lekbir kbir ya khabdi,1
a3tina asami limla3biya jdod,1
gasit kifek,1
slim riye7i m3alame,1
respect sahbi has bik kili bithabit zada,1
hedhi el bideya we mazel mazel forza ca,1
solidaire avec slouma rabby m aaak,1
merci abon koraj,1
awesome lyrics keep up bro,1
très très bien ttb,1
je te kif,1
commission sur votre chiffre mensuel,1
alla y hafadakom,1
3ana yohan 3ana,1
awel meera nasma3 7aja behya me8iir masle7a aw nife9,1
rabi yarhmou sab3oun ahsene momatel tounsi,1
rabi m3ak we rabi iwaffek,1
oui mabrouk alina ama mizelna nestanaw khir min haka,1
kolna m3ak ya ra2is lblad,1
bravo rabbi ykhallik l tounes allah ye7mik mel7osd,1
