sentence,label,length,word_list
rabbi m3ak wrabbi ydillik wiy3awnik,1,5,"['rabbi', 'm3ak', 'wrabbi', 'ydillik', 'wiy3awnik']"
hhhhhhhhhhhhh walh m3alm,1,3,"['hhhhhhhhhhhhh', 'walh', 'm3alm']"
3bed mnayka ya3en 3oss omhem l9a7ba ti ab3them ynaikou,0,9,"['3bed', 'mnayka', 'ya3en', '3oss', 'omhem', 'l9a7ba', 'ti', 'ab3them', 'ynaikou']"
kena3ja elibech touled,0,3,"['kena3ja', 'elibech', 'touled']"
akid m3a slim 8,1,4,"['akid', 'm3a', 'slim', '8']"
omg j adoore ta merveilleuse voix khadija,1,7,"['omg', 'j', 'adoore', 'ta', 'merveilleuse', 'voix', 'khadija']"
yezi bla kedhb,0,3,"['yezi', 'bla', 'kedhb']"
en avant le grand,1,4,"['en', 'avant', 'le', 'grand']"
my birthday 08 12,1,4,"['my', 'birthday', '08', '12']"
un grand bravo d un supporter stadiste,1,7,"['un', 'grand', 'bravo', 'd', 'un', 'supporter', 'stadiste']"
h h h h za3ma,0,5,"['h', 'h', 'h', 'h', 'za3ma']"
ca dima fi el3alali,1,4,"['ca', 'dima', 'fi', 'el3alali']"
infrastructure parc a wa9tech nchallah tabda fih 5edmet tasli7,0,9,"['infrastructure', 'parc', 'a', 'wa9tech', 'nchallah', 'tabda', 'fih', '5edmet', 'tasli7']"
3adé nklachi eli mayjiche 3la béli,1,6,"['3adé', 'nklachi', 'eli', 'mayjiche', '3la', 'béli']"
m6 ye m3elim,1,3,"['m6', 'ye', 'm3elim']"
mazal mazal,0,2,"['mazal', 'mazal']"
inhallah bi tawfik,1,3,"['inhallah', 'bi', 'tawfik']"
5iiiiiiiiiihhhhhh mamestek enti w 8onaytek,0,5,"['5iiiiiiiiiihhhhhh', 'mamestek', 'enti', 'w', '8onaytek']"
og3id n 8adi,0,3,"['og3id', 'n', '8adi']"
wa7dak felwahra yem3alimmmmmmmmmmmmm,1,3,"['wa7dak', 'felwahra', 'yem3alimmmmmmmmmmmmm']"
bsaraha tbarkala 3lih,1,3,"['bsaraha', 'tbarkala', '3lih']"
a3az sadi9 llensan,1,3,"['a3az', 'sadi9', 'llensan']"
inchallah arbou7a vive ca,1,4,"['inchallah', 'arbou7a', 'vive', 'ca']"
nchlahe dima marbou7a,1,3,"['nchlahe', 'dima', 'marbou7a']"
bsara7a 7alou barcha mchakel,1,4,"['bsara7a', '7alou', 'barcha', 'mchakel']"
rabi ithabit ajrik,1,3,"['rabi', 'ithabit', 'ajrik']"
bravo si slim rabi maak we chaab ca maak,1,9,"['bravo', 'si', 'slim', 'rabi', 'maak', 'we', 'chaab', 'ca', 'maak']"
ija privee 7chti bik 3ana m3ak 5dma,1,7,"['ija', 'privee', '7chti', 'bik', '3ana', 'm3ak', '5dma']"
nhebou adlèn gedioura ye m3allem ye boss,1,7,"['nhebou', 'adlèn', 'gedioura', 'ye', 'm3allem', 'ye', 'boss']"
embratour slouma,1,2,"['embratour', 'slouma']"
ouuuuuuuh ala zeby ouh,0,4,"['ouuuuuuuh', 'ala', 'zeby', 'ouh']"
med lemkacher a9wa we7ed,1,4,"['med', 'lemkacher', 'a9wa', 'we7ed']"
9ouwétna fi hal bled rahi beyna lkol ya3rafha,1,8,"['9ouwétna', 'fi', 'hal', 'bled', 'rahi', 'beyna', 'lkol', 'ya3rafha']"
aimez svp,1,2,"['aimez', 'svp']"
enchla el5ir el 9odam,1,4,"['enchla', 'el5ir', 'el', '9odam']"
ya hedi zaiem tallaa chwaya fil moustawa sinon degage,0,9,"['ya', 'hedi', 'zaiem', 'tallaa', 'chwaya', 'fil', 'moustawa', 'sinon', 'degage']"
la team dz,1,3,"['la', 'team', 'dz']"
hasilou 7reb hhhhh,1,3,"['hasilou', '7reb', 'hhhhh']"
cab en ligue2 inchallah bech ma3adch yet9ab7ou fi assyeidhom,0,9,"['cab', 'en', 'ligue2', 'inchallah', 'bech', 'ma3adch', 'yet9ab7ou', 'fi', 'assyeidhom']"
johnny fl video waaaw,1,4,"['johnny', 'fl', 'video', 'waaaw']"
bravo zaza ma3zek,1,3,"['bravo', 'zaza', 'ma3zek']"
ya lotfiiii khouya bayinnn ya9liiiiii,1,5,"['ya', 'lotfiiii', 'khouya', 'bayinnn', 'ya9liiiiii']"
hhhhh taamlou beuzz bch yarj3ou yetfarjou fikom tahchelkom deja,0,9,"['hhhhh', 'taamlou', 'beuzz', 'bch', 'yarj3ou', 'yetfarjou', 'fikom', 'tahchelkom', 'deja']"
3indek mabrouke et bonne à nivevecer king,1,7,"['3indek', 'mabrouke', 'et', 'bonne', 'à', 'nivevecer', 'king']"
pire que zaba,0,3,"['pire', 'que', 'zaba']"
t3ich ya slouma el8ali,1,4,"['t3ich', 'ya', 'slouma', 'el8ali']"
bravo ya m3alm w btwfi9 inchalh slim rihi,1,8,"['bravo', 'ya', 'm3alm', 'w', 'btwfi9', 'inchalh', 'slim', 'rihi']"
8 lm3alm,1,2,"['8', 'lm3alm']"
rais rabi m3ak ama ca rahi emena,1,7,"['rais', 'rabi', 'm3ak', 'ama', 'ca', 'rahi', 'emena']"
emm ma7soub tal3a achrb7t menha thawra naktha lokrez wemchet,0,9,"['emm', 'ma7soub', 'tal3a', 'achrb7t', 'menha', 'thawra', 'naktha', 'lokrez', 'wemchet']"
mahlehom walah katlouni bi douhek machalah 3lihom,1,7,"['mahlehom', 'walah', 'katlouni', 'bi', 'douhek', 'machalah', '3lihom']"
rabi yar7amha,1,2,"['rabi', 'yar7amha']"
rabi yechfik wladna bi hawelelah bech yahdiyolek lintisar,1,8,"['rabi', 'yechfik', 'wladna', 'bi', 'hawelelah', 'bech', 'yahdiyolek', 'lintisar']"
hhhhhhhh tla3 l5onnar,0,3,"['hhhhhhhh', 'tla3', 'l5onnar']"
o93od falim 3almouta,0,3,"['o93od', 'falim', '3almouta']"
bara nikomek,0,2,"['bara', 'nikomek']"
5alliw errajel ye5dem 3la rou7ou,1,5,"['5alliw', 'errajel', 'ye5dem', '3la', 'rou7ou']"
rabi m3ak wm3ana,1,3,"['rabi', 'm3ak', 'wm3ana']"
hhh ye5sel fi dnoubou behd sahbou mounefikin,0,7,"['hhh', 'ye5sel', 'fi', 'dnoubou', 'behd', 'sahbou', 'mounefikin']"
mahouch klemi e teri5 howa li y9oul,0,7,"['mahouch', 'klemi', 'e', 'teri5', 'howa', 'li', 'y9oul']"
hhhhhh mala bhim,0,3,"['hhhhhh', 'mala', 'bhim']"
hhhhhhh ya bahloul,0,3,"['hhhhhhh', 'ya', 'bahloul']"
a3toni fb si moncef svp,1,5,"['a3toni', 'fb', 'si', 'moncef', 'svp']"
mahlek brasmi makech 3adi,1,4,"['mahlek', 'brasmi', 'makech', '3adi']"
bravoooooooooo slommmaaa,1,2,"['bravoooooooooo', 'slommmaaa']"
sa7a manel cardi b voibes kif mat9ol lo5ra,1,8,"['sa7a', 'manel', 'cardi', 'b', 'voibes', 'kif', 'mat9ol', 'lo5ra']"
fi tounés meyfer9ouch bin ezkim wlkrim wlfehem yfhem,0,8,"['fi', 'tounés', 'meyfer9ouch', 'bin', 'ezkim', 'wlkrim', 'wlfehem', 'yfhem']"
looooool l étoile dawlaaaa,1,4,"['looooool', 'l', 'étoile', 'dawlaaaa']"
maryoumma zin ezin,1,3,"['maryoumma', 'zin', 'ezin']"
hhahha malla ka3ba bourjoulia chab3a dha7k,1,6,"['hhahha', 'malla', 'ka3ba', 'bourjoulia', 'chab3a', 'dha7k']"
allah ya7mou w yaj3el ma2weh ljana,1,6,"['allah', 'ya7mou', 'w', 'yaj3el', 'ma2weh', 'ljana']"
boss kol 3am w enti b 1000 5ir,1,8,"['boss', 'kol', '3am', 'w', 'enti', 'b', '1000', '5ir']"
nikomok enti wkatar,0,3,"['nikomok', 'enti', 'wkatar']"
koll 3am w enta bkhiir,1,5,"['koll', '3am', 'w', 'enta', 'bkhiir']"
tawa meksh besh t9olna farkh chkoun,0,6,"['tawa', 'meksh', 'besh', 't9olna', 'farkh', 'chkoun']"
aya yizi ma7kina tawa,1,4,"['aya', 'yizi', 'ma7kina', 'tawa']"
allah yarhmoo,1,2,"['allah', 'yarhmoo']"
maysawetlek ken etameee3 w ji3aaan,0,5,"['maysawetlek', 'ken', 'etameee3', 'w', 'ji3aaan']"
happy birthdhay slim,1,3,"['happy', 'birthdhay', 'slim']"
alah yar7mah,1,2,"['alah', 'yar7mah']"
nes ma3andhom win yhorb men 3morhom nte7chmou men 3morkom,0,9,"['nes', 'ma3andhom', 'win', 'yhorb', 'men', '3morhom', 'nte7chmou', 'men', '3morkom']"
allah yar7amha wsabir ahilha,1,4,"['allah', 'yar7amha', 'wsabir', 'ahilha']"
lebled da5let fi 7it mel la3bed kif hedhom,0,8,"['lebled', 'da5let', 'fi', '7it', 'mel', 'la3bed', 'kif', 'hedhom']"
clip 3leh tofla m3ak tadh7ek chadetha besif wahf,0,8,"['clip', '3leh', 'tofla', 'm3ak', 'tadh7ek', 'chadetha', 'besif', 'wahf']"
hhhhh rite mahou,0,3,"['hhhhh', 'rite', 'mahou']"
rabi ifar7ek beha,1,3,"['rabi', 'ifar7ek', 'beha']"
3ala chkoun tekdheb wenti ta3ref el9zdhia elfalestinia,0,7,"['3ala', 'chkoun', 'tekdheb', 'wenti', 'ta3ref', 'el9zdhia', 'elfalestinia']"
snin dayma rabi yahfdhek si slim,1,6,"['snin', 'dayma', 'rabi', 'yahfdhek', 'si', 'slim']"
oui wou 3amek nour yar7am 3ami men source sure,0,9,"['oui', 'wou', '3amek', 'nour', 'yar7am', '3ami', 'men', 'source', 'sure']"
ntijt lard wjaya tt9ohb,0,4,"['ntijt', 'lard', 'wjaya', 'tt9ohb']"
wlh nhar nestana fik,1,4,"['wlh', 'nhar', 'nestana', 'fik']"
a7na ijou3 klana,0,3,"['a7na', 'ijou3', 'klana']"
brabbi 9le9touch kif denya t7ar9et fil madina el mounawra,1,9,"['brabbi', '9le9touch', 'kif', 'denya', 't7ar9et', 'fil', 'madina', 'el', 'mounawra']"
i7ebou 3la thawra jdida hethom,0,5,"['i7ebou', '3la', 'thawra', 'jdida', 'hethom']"
machallah 3ala cha3b el ghalia,1,5,"['machallah', '3ala', 'cha3b', 'el', 'ghalia']"
haya ne7kou bel 3arbi 5ir,1,5,"['haya', 'ne7kou', 'bel', '3arbi', '5ir']"
nchlh laabed tefhm klemk w nousslou nbadlou l3a9lya mte3na,1,9,"['nchlh', 'laabed', 'tefhm', 'klemk', 'w', 'nousslou', 'nbadlou', 'l3a9lya', 'mte3na']"
enchalah mat5alich bina,1,3,"['enchalah', 'mat5alich', 'bina']"
hoy hoy,1,2,"['hoy', 'hoy']"
bayouta la belle,1,3,"['bayouta', 'la', 'belle']"
choufelna 7al lel 7ayawan jamel el arfaoui,1,7,"['choufelna', '7al', 'lel', '7ayawan', 'jamel', 'el', 'arfaoui']"
othmen lc,0,2,"['othmen', 'lc']"
t7in cha3éb hhhhhhhh bwdi3 iljari wla liwsif hhhhhhhh,0,8,"['t7in', 'cha3éb', 'hhhhhhhh', 'bwdi3', 'iljari', 'wla', 'liwsif', 'hhhhhhhh']"
bravo madam libled mafihech kbir,1,5,"['bravo', 'madam', 'libled', 'mafihech', 'kbir']"
oui moi zéda mkach5a wbech nenta5éb slim,1,7,"['oui', 'moi', 'zéda', 'mkach5a', 'wbech', 'nenta5éb', 'slim']"
nikelha omha mara okhra,0,4,"['nikelha', 'omha', 'mara', 'okhra']"
ma 8hor ken tawayesta8alk fi il efri9i bech yetla3,0,9,"['ma', '8hor', 'ken', 'tawayesta8alk', 'fi', 'il', 'efri9i', 'bech', 'yetla3']"
chy y7achem wlh,0,3,"['chy', 'y7achem', 'wlh']"
fased w sa9et w 7ram fik kemt insen,0,8,"['fased', 'w', 'sa9et', 'w', '7ram', 'fik', 'kemt', 'insen']"
mahlek bayouta tu te rajeunie de jour en jour,1,9,"['mahlek', 'bayouta', 'tu', 'te', 'rajeunie', 'de', 'jour', 'en', 'jour']"
top bravo,1,2,"['top', 'bravo']"
enchallah btawfik ltunis mafamach chkoun ystahlha 5ir mnou,1,8,"['enchallah', 'btawfik', 'ltunis', 'mafamach', 'chkoun', 'ystahlha', '5ir', 'mnou']"
m3allem ki kamel lbarnamej hatoula gnayt enta ma3allem hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1,9,"['m3allem', 'ki', 'kamel', 'lbarnamej', 'hatoula', 'gnayt', 'enta', 'ma3allem', 'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh']"
est 0 esj 1 hhhh mallla dnadik hhh,0,8,"['est', '0', 'esj', '1', 'hhhh', 'mallla', 'dnadik', 'hhh']"
rabbi m3ak mr moncef,1,4,"['rabbi', 'm3ak', 'mr', 'moncef']"
alah yerhemo,1,2,"['alah', 'yerhemo']"
inti akber fesed,0,3,"['inti', 'akber', 'fesed']"
ti hak 9wi fil 7seb,0,5,"['ti', 'hak', '9wi', 'fil', '7seb']"
a7la hay zouhour,1,3,"['a7la', 'hay', 'zouhour']"
rabi yfarej aala kol madhloum,1,5,"['rabi', 'yfarej', 'aala', 'kol', 'madhloum']"
hh ma9tla,1,2,"['hh', 'ma9tla']"
sa7a 5ouya ebde3 mafamech menou barcha fi bledna,1,8,"['sa7a', '5ouya', 'ebde3', 'mafamech', 'menou', 'barcha', 'fi', 'bledna']"
ness lkol signaler,0,3,"['ness', 'lkol', 'signaler']"
mahlekom machalah rabi yefadhalkom li ba3athkom,1,6,"['mahlekom', 'machalah', 'rabi', 'yefadhalkom', 'li', 'ba3athkom']"
bravo inchlh marbouha,1,3,"['bravo', 'inchlh', 'marbouha']"
allah latrabho ychwi kibite i3idmouh bjeh rabi i3idmouh,0,8,"['allah', 'latrabho', 'ychwi', 'kibite', 'i3idmouh', 'bjeh', 'rabi', 'i3idmouh']"
mahla klemek ya madame ama netsawar 9elbouha ala wazn,1,9,"['mahla', 'klemek', 'ya', 'madame', 'ama', 'netsawar', '9elbouha', 'ala', 'wazn']"
rr w perruque plastique majewech,0,5,"['rr', 'w', 'perruque', 'plastique', 'majewech']"
film rex,0,2,"['film', 'rex']"
dharba mouj3a li danadik wd esserdina bravo slim riahi,0,9,"['dharba', 'mouj3a', 'li', 'danadik', 'wd', 'esserdina', 'bravo', 'slim', 'riahi']"
slwma jm3ya fi 7eja lik ma t5aliohech,1,7,"['slwma', 'jm3ya', 'fi', '7eja', 'lik', 'ma', 't5aliohech']"
nchallah ykounou rjel forza ca,1,5,"['nchallah', 'ykounou', 'rjel', 'forza', 'ca']"
allahouma salli wsallm 3la syedna mohamed,1,6,"['allahouma', 'salli', 'wsallm', '3la', 'syedna', 'mohamed']"
4 14 my dad walks by,1,6,"['4', '14', 'my', 'dad', 'walks', 'by']"
ben cheikh awled thomasturbat ezgvshdjid hhhhh,1,6,"['ben', 'cheikh', 'awled', 'thomasturbat', 'ezgvshdjid', 'hhhhh']"
3idik mobarik,1,2,"['3idik', 'mobarik']"
sam rabi m3ak sami,1,4,"['sam', 'rabi', 'm3ak', 'sami']"
ezbaaar t3 zbaaar,1,3,"['ezbaaar', 't3', 'zbaaar']"
alsalem 3alaikom,1,2,"['alsalem', '3alaikom']"
hhhhhhhh 9weya boss,1,3,"['hhhhhhhh', '9weya', 'boss']"
cho chkoun ta7ki,0,3,"['cho', 'chkoun', 'ta7ki']"
usma kbira 3likoum,1,3,"['usma', 'kbira', '3likoum']"
3alaa addonia assaleem ya tunis w ya cha3eeb tunis,1,9,"['3alaa', 'addonia', 'assaleem', 'ya', 'tunis', 'w', 'ya', 'cha3eeb', 'tunis']"
mahma i9olou ennes 3lik ana mani msalém fik,1,8,"['mahma', 'i9olou', 'ennes', '3lik', 'ana', 'mani', 'msalém', 'fik']"
7ata chay maybarer el 9atl,1,5,"['7ata', 'chay', 'maybarer', 'el', '9atl']"
allahe yarhamou,1,2,"['allahe', 'yarhamou']"
klem ma39oul wfi blastou wes7i7,1,5,"['klem', 'ma39oul', 'wfi', 'blastou', 'wes7i7']"
7atta layla 3yat timchi hakeka,0,5,"['7atta', 'layla', '3yat', 'timchi', 'hakeka']"
ahessen intideb ken tjib edaraji mla3bi ghoul,1,7,"['ahessen', 'intideb', 'ken', 'tjib', 'edaraji', 'mla3bi', 'ghoul']"
kol chay ywetik,1,3,"['kol', 'chay', 'ywetik']"
chmata fil mfach5ine 7oto j aime,1,6,"['chmata', 'fil', 'mfach5ine', '7oto', 'j', 'aime']"
meller na3mloul cha9a9a meskn,0,4,"['meller', 'na3mloul', 'cha9a9a', 'meskn']"
rabi yahdihome fitunis wacharbouha,0,4,"['rabi', 'yahdihome', 'fitunis', 'wacharbouha']"
talaa chkoun yechabah lelakher,0,4,"['talaa', 'chkoun', 'yechabah', 'lelakher']"
ichalah llnihaya,1,2,"['ichalah', 'llnihaya']"
fri9i dima labes,1,3,"['fri9i', 'dima', 'labes']"
yammi joujmage,1,2,"['yammi', 'joujmage']"
3la molena,1,2,"['3la', 'molena']"
chkone yashél 3al mechrgi otlbo fi telephon,1,7,"['chkone', 'yashél', '3al', 'mechrgi', 'otlbo', 'fi', 'telephon']"
sakroulek chain mteik ya klay,0,5,"['sakroulek', 'chain', 'mteik', 'ya', 'klay']"
m3alem slim fbi,1,3,"['m3alem', 'slim', 'fbi']"
